loan_amount,interest_rate,income,employment_years,credit_score,age,existing_debt,loan_term,default
16795,8.966971842242124,49655,28,709,23,33796,60,1
1860,11.455775491654,67632,15,609,54,27933,60,0
39158,20.13529393768968,165265,34,367,31,34581,60,1
45732,15.82907778287916,181848,33,413,64,38281,48,0
12284,24.357567073614877,194297,2,519,67,21187,12,0
7265,26.31462387345857,199884,3,519,66,22953,60,0
17850,18.541160455418996,38895,4,772,26,33818,48,1
38194,23.95668230140148,172281,9,685,36,24702,60,0
22962,12.67261282986425,43086,28,597,40,6278,60,1
48191,15.374280385001954,105637,31,552,58,44566,48,1
45131,22.819441905420774,178279,30,704,45,18036,12,0
17023,14.655299820425768,127334,1,791,33,47495,24,0
42090,19.71262337897472,171969,11,656,43,24583,36,0
2685,9.634319477062787,83083,26,727,55,4708,60,0
1769,19.99428287426245,115028,4,514,57,9476,12,0
3433,26.53784268067234,86957,36,679,42,5318,36,0
6311,26.715990995585642,117551,26,513,52,29269,60,1
38819,23.10861015823849,98506,22,397,22,38627,36,1
40188,23.64383447690315,158355,32,827,24,45441,48,1
18568,18.948186128767517,114024,3,827,40,24754,12,1
20769,19.61670225414562,101481,20,834,42,39361,12,0
29693,8.341264535262951,20255,23,848,18,19979,24,0
7396,16.096479710532527,35487,30,627,39,4910,24,1
28480,16.269407097159096,39346,23,464,21,36022,36,1
42434,28.962445891693505,55050,9,415,45,4453,48,1
26658,15.777171565582236,28744,1,449,65,21181,36,1
19942,18.73356612256894,175828,30,817,31,23365,60,1
19431,18.33128498197756,81596,24,331,50,26326,12,1
3747,20.91904292610818,176218,3,592,21,40705,36,0
1189,23.705820783297398,139640,10,476,59,4177,36,0
20118,10.626046904271803,75032,16,360,28,3429,12,0
36773,18.218110477460893,62687,1,715,56,32952,12,0
2899,25.647942682900762,197175,5,682,49,35901,24,1
2267,16.57786784593779,173048,8,306,21,4978,24,1
32551,11.961438659339326,82863,4,384,18,41466,12,1
12394,21.367726883907476,151663,19,697,43,13773,36,1
4556,25.594184894978074,26277,28,692,50,6174,60,0
4890,6.578507323184783,81860,20,346,34,21796,36,0
42606,24.41976208518068,153332,8,640,44,11877,60,1
31740,25.54119832404428,44741,27,797,59,17722,12,0
15502,16.53807318971517,139720,7,777,22,22555,60,1
22777,29.582641420461684,57211,30,725,24,47225,24,1
11627,24.667708517682726,192614,19,725,42,13562,12,1
9792,24.341564122391645,26869,26,814,25,6546,48,1
44323,23.695964360301794,107616,7,428,51,25258,60,1
44021,8.765202580456851,114515,20,548,58,11706,60,1
9433,10.43077216132527,170494,27,430,21,28943,48,0
44001,16.599753286610625,186685,22,622,29,22315,48,0
12016,11.600108748986646,80110,5,842,48,10352,12,0
24897,15.38102430835101,54033,2,365,28,34497,36,1
3612,27.211602748073016,65213,4,400,54,9609,48,0
24483,25.60817229698173,32938,8,330,61,44974,60,1
49555,20.750996961999554,150842,6,490,53,32786,48,0
18159,26.45300985627759,22274,3,714,62,27228,12,1
45974,24.59430972543123,104390,38,799,39,49616,12,0
41994,15.724623296022262,182887,4,345,18,8882,60,0
15541,10.026628801248627,170033,10,388,67,16268,60,1
36920,17.85502600023348,40044,14,674,21,5310,60,0
27531,23.40572206321375,119372,33,545,53,46572,36,0
2585,15.910489968239826,173047,12,556,25,24463,60,0
4943,21.66929774459743,34706,6,651,42,11253,12,0
24939,7.35818565727609,157046,39,404,45,20404,12,0
20457,23.700118409285086,96464,5,636,69,49314,48,0
2021,25.31784049732655,41213,38,825,55,9827,60,0
12653,22.67094639451353,21950,29,600,53,10938,36,0
44573,29.18158968815914,30411,21,376,53,33062,24,1
14417,25.66630143651601,148603,24,810,60,25154,48,1
41757,27.577343196913457,197228,27,529,58,7240,36,1
10692,28.3392770864412,82744,19,331,63,39612,60,1
46758,25.033699796845212,168843,38,357,21,1585,36,1
7873,21.856471050162476,55053,2,403,30,10541,24,0
6675,5.1429645340197325,158117,4,611,55,5427,36,1
1161,16.645643830578116,77623,0,366,62,26747,24,0
38065,19.279057465559028,49714,14,673,42,23196,24,0
